compissueURI,component,intissueURI,integrated
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RawMaterials>","""Raw Materials""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MigrantLabor>","""Migrant Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalSubsidies>","""Agricultural Subsidies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#QuotasAndQuantitativeRestrictions>","""Quotas and Quantitative Restrictions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalValueAdded>","""Agricultural Value Added""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CashFoodCrops>","""Cash Food Crops""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AirPollution>","""Air Pollution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalTaxes>","""Agricultural Taxes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Profitability>","""Profitability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ComplianceCosts>","""Compliance Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Forests>","""Forests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalExports>","""Agricultural Exports""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WorkingConditions>","""Working Conditions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Prices>","""Prices""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalTariffsAndQuotas>","""Agricultural Tariffs and Quotas""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChangeAdaptation>","""Climate Change Adaptation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GreenhouseGasMitigation>","""Greenhouse Gas Mitigation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SupplyvalueChainStructure>","""Supply/Value Chain Structure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
