Indicator|Diseases|Labor|Literacy|Human Mortality|Nutritional Status|Public Health|Reproductive Health|Safety|Air & Climate|Biodiversity|Common Pool Resources|Deforestation|Ecosystem Services|Land & Soil|Oceans & Coasts|Protected Areas|Wastes & Pollution|Water|Agricultural Sector|Energy|Finance|Income|Physical Infrastructure|Inputs|Disasters|Educational Resources|Food Production|Geographical Distribution|Governance|Human Rights|Institutions|Markets|Participation|Population Growth|Population Structure|Poverty|Productivity|Property Rights|Social Structure|Sociocultural Systems|Technology|Trade Policies|Women & Wages|Women's Participation|Access to Clean Water|Access to Finance|Access to Healthcare|Access to Information and Communication|Access to Sanitation|Access to Technology|Accident Benefits|Age Distribution|Agricultural Barter|Agricultural Debt|Agricultural Education|Agricultural Employment|Agricultural Exports|Agricultural Imports|Agricultural Intermediate Goods|Agricultural Prices|Agricultural Production Costs|Agricultural Productivity|Agricultural Subsidies|Agricultural Tariffs and Quotas|Agricultural Taxes|Agricultural Value Added|Agrobiodiversity|Air Pollution|Air Quality|Animal Production|Aquaculture|Banking Systems|Basic Needs|Birth Defects|Buildings|Capacity for Participation|Capital Productivity|Carbon Sequestration|Cash Food Crops|Certification|Child Labor|Child Mortality|Civil Rights|Climate Change|Climate Change Adaptation|Commercial Policies|Community Participation|Compensation|Compliance Costs|Contamination|Contraception|Corruption|Cropping Systems|Crop Yield|Cultural Appropriateness of Foods|Cultural Protection and Conservation|Cultural Services|Desertification|Diet|Disaster Mitigation|Disaster Preparedness|Disaster Prevention|Disaster Relief|Disasters - Economic Impact|Disasters - Environmental Impact|Disasters - Health Impact|Disasters - Human and Social Impact|Discrimination|Discrimination in Employment|Disease Incidence - Communicable|Disease Incidence - Noncommunicable|Disease-Related Mortality|Diseases and Pests|Economic Participation|Ecosystem Health|Ecosystem Management|Ecotourism|Education Access|Educational Policies|Education Equity|Education Infrastructure|Education Quality|Employee Rights|Employment at Will|Energy Conservation|Energy Demand|Energy Efficiency|Energy Infrastructure|Energy Policies|Energy Production|Energy Productivity|Energy Security|Enforcement of Laws and Regulations|Equality|Erosion|Ethical Treatment of Animals|Eutrophication|Evapotranspiration|Family Planning|Financial Risk|Fisheries|Fishing & Overfishing|Floods|Food Availability|Food Policies|Food Provisioning|Food Safety|Food Security|Food Security - Household|Food Security - National|Food Wastes|Forced Labor|Forest Canopy Cover|Forest Ecology|Forest Management Practices|Forest Productivity|Forest Products|Forests|Formal Education - Primary|Formal Education - Secondary|Formal Education - Tertiary|Functional Literacy|Gender Equality|Gender Literacy|Gender Policy|Genetic Diversity within Species|Governance Structure|Grasslands|Grazing|Greenhouse Gas Emissions|Greenhouse Gas Mitigation|Groundwater Contamination|Groundwater Recharge and Overdraft|Habitats|Harrassment|Hazardous Wastes--Management|Health Care Infrastructure|Human Exposure|Human Rights Advocacy|Human Rights Monitoring|Human Use of Protected Areas|Immunization|Income Distribution|Income Generation|Income Growth|Income Smoothing|Income Stability|Income Sufficiency|Indigenous Technology and Knowledge|Inflation|Informal Education|Information Infrastructure|Inorganic Fertilizers|Input Productivity|Insurance|Interest Rates|Intraregional Trade (Domestic Trade)|Invasive Species|Investment|Investment in Education|Investment In Health|Irrigation|Job Security|Knowledge and Information Systems|Labor Costs|Labor Market|Labor Policy|Labor Productivity|Labor Supply|Land Cover|Land Fragmentation|Land Productivity|Landscape Changes|Landscape Protection|Land Tenure|Land Use|Laws and Regulations|Livestock Feed|Livestock Management|Machinery|Manmade Disasters|Marine Economics|Marine Protected Areas|Maritime Law|Market Access|Market Infrastructure|Market Performance|Market Standards, Regulations, and Policies|Market Structure|Market Support|Market Transparency|Maternal Health Services|Maternal Mortality|Migrant Labor|Migration|Natural Disasters|Non-Hazardous Waste Management|Non-Renewable Energy|Nutritional Value|Occupational Accidents|Occupational Diseases|Occupational Health|Occupational Mortality|Occupational Safety|Occupational Segregation|Ocean Acidification|Ocean Circulation|Organic Fertilizers|Other Trade Restrictions|Overnutrition|Ozone Depletion|Pay Equity|Persistence of Poverty|Pesticides|Pharmaceutical Products|Political Participation|Pollination|Pollution Prevention|Population Density|Population Dynamics|Population Growth|Postnatal Care|Potable Water|Poverty Alleviation Measures|Poverty Incidence|Precipitation|Prenatal Care|Prices|Profitability|Property Transfers|Protected Area Encroachment|Protected Areas--Management|Protection of Threatened & Rare Ecosystems|Public Health Initiatives|Quotas and Quantitative Restrictions|Rates of Waste Production|Raw Materials|Refugees|Remedial Action (Pollution)|Renewable Energy|Representation and Accountability|Research and Development|Resource Rights|Retained Earnings|Rights (Legal)|Right to Property - Customary|Right to Property - Formal|Rule of Law|Runoff|Rural Poor|Rural Population|Safety Education|Saline Water|Sea Level Rise|Sea Pollution|Seed|Sex Ratio|Sexually Transmitted Diseases|Social Networks|Social Participation|Social Stratification|Social Support|Soil Chemistry|Soil Pollution|Soil Salinization|Soils--Quality|Sources of Financial Capital|Species Diversity|Species Introduction|Species Migration|Species Threatened with Extinction|Stakeholder Participation|Staple Food Production|Supply/Value Chain Structure|Tariffs, Taxes, Subsidies|Teacher Education|Technological Expertise|Technology Innovation|Technology Trade|Technology Transfer|Terrestrial Protected Areas|Topography|Trade Agreements|Transfer of Energy|Transparency in Government|Transport Infrastructure|Undernutrition - Acute|Undernutrition - Chronic|Urbanization|Urban Poor|Urban Population|Use Rights|Value Systems and Behavioral Norms|Veterinary Services|Violence Against Women Policy|Violence-Related Mortality|Vocational Education|Volatility, Risk and Stability|Waste Composting|Waste/Pollution Policy|Waste Prevention|Waste Recycling/Reusing|Wastewater|Water Availability|Water Infrastructure|Water Productivity|Water Quality|Water Rights|Water Storage|Water Use|Water Use Efficiency|Weather Hazards|Wetlands|Wild Animal Trade|Women Farmers|Women's Access to Financial Capital|Women's Access to Social Capital|Women's Economic Participation|Women's Political Participation|Working Conditions|Work Satisfaction|Youth Literacy
34@Ecological footprint per capita|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
25@Civil and political liberties|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
33@Dow Jones Sustainability Group Index (DJSGI)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
30@Democracy measure|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
17@Anthropogenic SO2 emissions per populated land area|1|0|0|1|0|1|0|1|1|0|1|0|1|1|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
23@Child death rate from respiratory diseases|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
21@Carbon emissions per capita|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|1|1|1|1|0|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
41@Generation of hazardous waste|0|0|0|1|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9@Current crop yields|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
18@Anthropogenic VOC emissions per populated land area|1|0|0|1|0|1|0|1|1|0|1|0|1|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
